onset	duration	trial_type	value	sample
61.376	3.0	Practice/0Back	6	548
62.832	3.0	Practice/0Back	6	561
64.39999999999999	3.0	Practice/0Back	6	575
65.968	3.0	Practice/0Back	6	589
67.42399999999999	3.0	Practice/0Back	6	602
68.992	3.0	Practice/0Back	6	616
70.56	3.0	Practice/0Back	6	630
72.128	3.0	Practice/0Back	6	644
73.584	3.0	Practice/0Back	6	657
75.152	3.0	Practice/0Back	6	671
93.63199999999999	3.0	Practice/2Back	7	836
95.088	3.0	Practice/2Back	7	849
96.65599999999999	3.0	Practice/2Back	7	863
98.224	3.0	Practice/2Back	7	877
99.67999999999999	3.0	Practice/2Back	7	890
101.24799999999999	3.0	Practice/2Back	7	904
102.704	3.0	Practice/2Back	7	917
104.27199999999999	3.0	Practice/2Back	7	931
105.84	3.0	Practice/2Back	7	945
107.29599999999999	3.0	Practice/2Back	7	958
124.768	3.0	Baseline	5	1114
126.22399999999999	3.0	Baseline	5	1127
127.792	3.0	Baseline	5	1141
129.248	3.0	Baseline	5	1154
130.816	3.0	Baseline	5	1168
132.384	3.0	Baseline	5	1182
133.952	3.0	Baseline	5	1196
135.408	3.0	Baseline	5	1209
136.976	3.0	Baseline	5	1223
138.54399999999998	3.0	Baseline	5	1237
140.112	3.0	Baseline	5	1251
141.56799999999998	3.0	Baseline	5	1264
143.136	3.0	Baseline	5	1278
144.704	3.0	Baseline	5	1292
146.16	3.0	Baseline	5	1305
147.728	3.0	Baseline	5	1319
149.296	3.0	Baseline	5	1333
150.752	3.0	Baseline	5	1346
152.32	3.0	Baseline	5	1360
153.888	3.0	Baseline	5	1374
155.344	3.0	Baseline	5	1387
156.912	3.0	Baseline	5	1401
158.48	3.0	Baseline	5	1415
159.936	3.0	Baseline	5	1428
161.504	3.0	Baseline	5	1442
163.072	3.0	Baseline	5	1456
164.64	3.0	Baseline	5	1470
166.208	3.0	Baseline	5	1484
167.664	3.0	Baseline	5	1497
169.232	3.0	Baseline	5	1511
170.79999999999998	3.0	Baseline	5	1525
172.368	3.0	Baseline	5	1539
173.82399999999998	3.0	Baseline	5	1552
175.392	3.0	Baseline	5	1566
176.96	3.0	Baseline	5	1580
178.416	3.0	Baseline	5	1593
179.984	3.0	Baseline	5	1607
181.552	3.0	Baseline	5	1621
183.00799999999998	3.0	Baseline	5	1634
184.576	3.0	Baseline	5	1648
214.256	3.0	0Back	1	1913
215.82399999999998	3.0	0Back	1	1927
217.392	3.0	0Back	1	1941
218.96	3.0	0Back	1	1955
220.416	3.0	0Back	1	1968
221.98399999999998	3.0	0Back	1	1982
223.552	3.0	0Back	1	1996
225.12	3.0	0Back	1	2010
226.576	3.0	0Back	1	2023
228.144	3.0	0Back	1	2037
229.712	3.0	0Back	1	2051
231.168	3.0	0Back	1	2064
232.736	3.0	0Back	1	2078
234.192	3.0	0Back	1	2091
235.76	3.0	0Back	1	2105
237.328	3.0	0Back	1	2119
238.896	3.0	0Back	1	2133
240.352	3.0	0Back	1	2146
241.92	3.0	0Back	1	2160
243.488	3.0	0Back	1	2174
245.05599999999998	3.0	0Back	1	2188
246.512	3.0	0Back	1	2201
248.07999999999998	3.0	0Back	1	2215
249.648	3.0	0Back	1	2229
251.21599999999998	3.0	0Back	1	2243
252.672	3.0	0Back	1	2256
254.23999999999998	3.0	0Back	1	2270
255.808	3.0	0Back	1	2284
257.376	3.0	0Back	1	2298
258.832	3.0	0Back	1	2311
260.4	3.0	0Back	1	2325
261.968	3.0	0Back	1	2339
263.424	3.0	0Back	1	2352
