onset	duration	trial_type	value	sample
97.6	3.0	Practice/0Back	6	976
99.0	3.0	Practice/0Back	6	990
100.3	3.0	Practice/0Back	6	1003
101.7	3.0	Practice/0Back	6	1017
103.1	3.0	Practice/0Back	6	1031
104.5	3.0	Practice/0Back	6	1045
105.8	3.0	Practice/0Back	6	1058
107.2	3.0	Practice/0Back	6	1072
108.6	3.0	Practice/0Back	6	1086
110.0	3.0	Practice/0Back	6	1100
124.7	3.0	Practice/2Back	7	1247
126.1	3.0	Practice/2Back	7	1261
127.5	3.0	Practice/2Back	7	1275
128.9	3.0	Practice/2Back	7	1289
130.2	3.0	Practice/2Back	7	1302
131.6	3.0	Practice/2Back	7	1316
133.0	3.0	Practice/2Back	7	1330
134.3	3.0	Practice/2Back	7	1343
135.7	3.0	Practice/2Back	7	1357
137.1	3.0	Practice/2Back	7	1371
153.3	3.0	Baseline	5	1533
154.6	3.0	Baseline	5	1546
156.0	3.0	Baseline	5	1560
157.4	3.0	Baseline	5	1574
158.8	3.0	Baseline	5	1588
160.1	3.0	Baseline	5	1601
161.5	3.0	Baseline	5	1615
162.9	3.0	Baseline	5	1629
164.3	3.0	Baseline	5	1643
165.6	3.0	Baseline	5	1656
167.0	3.0	Baseline	5	1670
168.4	3.0	Baseline	5	1684
169.7	3.0	Baseline	5	1697
171.1	3.0	Baseline	5	1711
172.5	3.0	Baseline	5	1725
173.8	3.0	Baseline	5	1738
175.2	3.0	Baseline	5	1752
176.6	3.0	Baseline	5	1766
177.9	3.0	Baseline	5	1779
179.3	3.0	Baseline	5	1793
180.7	3.0	Baseline	5	1807
182.1	3.0	Baseline	5	1821
183.4	3.0	Baseline	5	1834
184.8	3.0	Baseline	5	1848
186.2	3.0	Baseline	5	1862
187.6	3.0	Baseline	5	1876
188.9	3.0	Baseline	5	1889
190.3	3.0	Baseline	5	1903
191.7	3.0	Baseline	5	1917
193.1	3.0	Baseline	5	1931
194.4	3.0	Baseline	5	1944
195.8	3.0	Baseline	5	1958
197.2	3.0	Baseline	5	1972
198.5	3.0	Baseline	5	1985
199.9	3.0	Baseline	5	1999
201.3	3.0	Baseline	5	2013
202.6	3.0	Baseline	5	2026
204.0	3.0	Baseline	5	2040
205.4	3.0	Baseline	5	2054
206.7	3.0	Baseline	5	2067
217.2	3.0	0Back	1	2172
218.5	3.0	0Back	1	2185
219.9	3.0	0Back	1	2199
221.3	3.0	0Back	1	2213
222.7	3.0	0Back	1	2227
224.1	3.0	0Back	1	2241
225.4	3.0	0Back	1	2254
226.8	3.0	0Back	1	2268
228.2	3.0	0Back	1	2282
229.6	3.0	0Back	1	2296
230.9	3.0	0Back	1	2309
232.3	3.0	0Back	1	2323
233.7	3.0	0Back	1	2337
235.0	3.0	0Back	1	2350
236.4	3.0	0Back	1	2364
237.8	3.0	0Back	1	2378
239.1	3.0	0Back	1	2391
240.5	3.0	0Back	1	2405
241.9	3.0	0Back	1	2419
243.2	3.0	0Back	1	2432
244.6	3.0	0Back	1	2446
246.0	3.0	0Back	1	2460
247.4	3.0	0Back	1	2474
248.7	3.0	0Back	1	2487
250.1	3.0	0Back	1	2501
251.5	3.0	0Back	1	2515
252.9	3.0	0Back	1	2529
254.2	3.0	0Back	1	2542
255.6	3.0	0Back	1	2556
257.0	3.0	0Back	1	2570
258.4	3.0	0Back	1	2584
259.7	3.0	0Back	1	2597
261.1	3.0	0Back	1	2611
262.5	3.0	0Back	1	2625
263.8	3.0	0Back	1	2638
265.2	3.0	0Back	1	2652
266.6	3.0	0Back	1	2666
267.9	3.0	0Back	1	2679
269.3	3.0	0Back	1	2693
270.7	3.0	0Back	1	2707
301.0	3.0	2Back_block1	2	3010
302.3	3.0	2Back_block1	2	3023
303.7	3.0	2Back_block1	2	3037
305.0	3.0	2Back_block1	2	3050
306.4	3.0	2Back_block1	2	3064
307.8	3.0	2Back_block1	2	3078
309.1	3.0	2Back_block1	2	3091
310.5	3.0	2Back_block1	2	3105
311.9	3.0	2Back_block1	2	3119
313.2	3.0	2Back_block1	2	3132
314.6	3.0	2Back_block1	2	3146
316.0	3.0	2Back_block1	2	3160
317.4	3.0	2Back_block1	2	3174
318.7	3.0	2Back_block1	2	3187
320.1	3.0	2Back_block1	2	3201
321.5	3.0	2Back_block1	2	3215
322.9	3.0	2Back_block1	2	3229
324.2	3.0	2Back_block1	2	3242
325.6	3.0	2Back_block1	2	3256
327.0	3.0	2Back_block1	2	3270
328.4	3.0	2Back_block1	2	3284
329.7	3.0	2Back_block1	2	3297
331.1	3.0	2Back_block1	2	3311
332.5	3.0	2Back_block1	2	3325
333.8	3.0	2Back_block1	2	3338
335.2	3.0	2Back_block1	2	3352
336.6	3.0	2Back_block1	2	3366
337.9	3.0	2Back_block1	2	3379
339.3	3.0	2Back_block1	2	3393
340.7	3.0	2Back_block1	2	3407
342.1	3.0	2Back_block1	2	3421
343.4	3.0	2Back_block1	2	3434
344.8	3.0	2Back_block1	2	3448
346.2	3.0	2Back_block1	2	3462
347.5	3.0	2Back_block1	2	3475
348.9	3.0	2Back_block1	2	3489
350.3	3.0	2Back_block1	2	3503
351.7	3.0	2Back_block1	2	3517
353.1	3.0	2Back_block1	2	3531
354.4	3.0	2Back_block1	2	3544
355.8	3.0	2Back_block1	2	3558
357.2	3.0	2Back_block1	2	3572
358.6	3.0	2Back_block1	2	3586
359.9	3.0	2Back_block1	2	3599
361.3	3.0	2Back_block1	2	3613
362.7	3.0	2Back_block1	2	3627
364.0	3.0	2Back_block1	2	3640
365.4	3.0	2Back_block1	2	3654
366.8	3.0	2Back_block1	2	3668
368.1	3.0	2Back_block1	2	3681
369.5	3.0	2Back_block1	2	3695
370.9	3.0	2Back_block1	2	3709
372.2	3.0	2Back_block1	2	3722
373.6	3.0	2Back_block1	2	3736
375.0	3.0	2Back_block1	2	3750
376.4	3.0	2Back_block1	2	3764
377.7	3.0	2Back_block1	2	3777
379.1	3.0	2Back_block1	2	3791
380.5	3.0	2Back_block1	2	3805
381.9	3.0	2Back_block1	2	3819
