onset	duration	trial_type	value	sample
105.53399999999999	3.0	Practice/0Back	6	858
107.133	3.0	Practice/0Back	6	871
108.85499999999999	3.0	Practice/0Back	6	885
110.57699999999998	3.0	Practice/0Back	6	899
112.29899999999999	3.0	Practice/0Back	6	913
113.898	3.0	Practice/0Back	6	926
115.61999999999999	3.0	Practice/0Back	6	940
117.34199999999998	3.0	Practice/0Back	6	954
119.064	3.0	Practice/0Back	6	968
120.66299999999998	3.0	Practice/0Back	6	981
133.701	3.0	Practice/2Back	7	1087
135.29999999999998	3.0	Practice/2Back	7	1100
137.022	3.0	Practice/2Back	7	1114
138.744	3.0	Practice/2Back	7	1128
140.46599999999998	3.0	Practice/2Back	7	1142
142.065	3.0	Practice/2Back	7	1155
143.78699999999998	3.0	Practice/2Back	7	1169
145.509	3.0	Practice/2Back	7	1183
147.10799999999998	3.0	Practice/2Back	7	1196
148.82999999999998	3.0	Practice/2Back	7	1210
252.027	3.0	Baseline	5	2049
253.74899999999997	3.0	Baseline	5	2063
255.34799999999998	3.0	Baseline	5	2076
257.07	3.0	Baseline	5	2090
258.792	3.0	Baseline	5	2104
260.51399999999995	3.0	Baseline	5	2118
262.113	3.0	Baseline	5	2131
263.835	3.0	Baseline	5	2145
265.43399999999997	3.0	Baseline	5	2158
267.15599999999995	3.0	Baseline	5	2172
268.878	3.0	Baseline	5	2186
270.477	3.0	Baseline	5	2199
272.19899999999996	3.0	Baseline	5	2213
273.921	3.0	Baseline	5	2227
275.643	3.0	Baseline	5	2241
277.24199999999996	3.0	Baseline	5	2254
278.964	3.0	Baseline	5	2268
280.686	3.0	Baseline	5	2282
282.40799999999996	3.0	Baseline	5	2296
284.00699999999995	3.0	Baseline	5	2309
285.729	3.0	Baseline	5	2323
287.45099999999996	3.0	Baseline	5	2337
289.173	3.0	Baseline	5	2351
290.895	3.0	Baseline	5	2365
292.49399999999997	3.0	Baseline	5	2378
294.21599999999995	3.0	Baseline	5	2392
295.815	3.0	Baseline	5	2405
297.537	3.0	Baseline	5	2419
299.25899999999996	3.0	Baseline	5	2433
300.981	3.0	Baseline	5	2447
302.58	3.0	Baseline	5	2460
304.30199999999996	3.0	Baseline	5	2474
305.90099999999995	3.0	Baseline	5	2487
